Title job,Employer,Link profile employer,Location,How long ago,Link offer
Analista de Aseguramiento de la Calidad,SIGNIA SPECIALIZED LOGISTICS OPERATOR,https://pe.linkedin.com/company/signia-soluciones-logisticas-sincronizadas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ate, Peru",1 day ago,https://pe.linkedin.com/jobs/view/analista-de-aseguramiento-de-la-calidad-at-signia-specialized-logistics-operator-4191012540?position=1&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=d8KJUnSk%2BWPZr5wXPzI4cg%3D%3D
QA Tester Junior,Bitel Perú,https://pe.linkedin.com/company/bitelperu?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",4 days ago,https://pe.linkedin.com/jobs/view/qa-tester-junior-at-bitel-per%C3%BA-4184927924?position=2&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=E2DqspCdUFkVjvzYe7c4uA%3D%3D
Manual QA / I + D - Trabajo Remoto,BairesDev,https://www.linkedin.com/company/bairesdev?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",4 days ago,https://pe.linkedin.com/jobs/view/manual-qa-i-%2B-d-trabajo-remoto-at-bairesdev-4184581934?position=3&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=XSNrLsMYCE%2FPW5nbmUw1dQ%3D%3D
QA Automation Senior,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,https://pe.linkedin.com/jobs/view/qa-automation-senior-at-encora-inc-4187579014?position=4&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=4ihLqg%2B0orL0WUVpWxhTnw%3D%3D
QA Automation Engineer Mid,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,https://pe.linkedin.com/jobs/view/qa-automation-engineer-mid-at-encora-inc-4190720702?position=5&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=3g%2FS6Nr8RAdl3d7aCtMMTQ%3D%3D
QA Automation Senior,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,https://pe.linkedin.com/jobs/view/qa-automation-senior-at-encora-inc-4190491751?position=6&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=nTXkErGtZJmXvVidaMx5jQ%3D%3D
QA Funcional Junior,Pecano Software SAC,https://pe.linkedin.com/company/pecano-software?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,https://pe.linkedin.com/jobs/view/qa-funcional-junior-at-pecano-software-sac-4191246755?position=7&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=w2gGhnDb%2BBsIlScLEGk%2BXw%3D%3D
Quality Assurance,Delfosti,https://pe.linkedin.com/company/delfosti?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miraflores, Peru",2 days ago,https://pe.linkedin.com/jobs/view/quality-assurance-at-delfosti-4188351183?position=8&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=iHklRWN0nwNhV8qtxL3tlA%3D%3D
Analista de certificación QA,Valtx Perú,https://pe.linkedin.com/company/valtx-peru?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Borja, Peru",2 days ago,https://pe.linkedin.com/jobs/view/analista-de-certificaci%C3%B3n-qa-at-valtx-per%C3%BA-4190612795?position=9&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=bBf3XlxwZuZ2i%2FHuvrPRUg%3D%3D
Analista de Pruebas QA (Especialista en Banca y Automatización),SOAINT,https://es.linkedin.com/company/soaint?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,https://pe.linkedin.com/jobs/view/analista-de-pruebas-qa-especialista-en-banca-y-automatizaci%C3%B3n-at-soaint-4188338755?position=10&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=2hylTLJ%2Bjj%2F98Al%2FquvegQ%3D%3D
QA Automation,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",2 days ago,https://pe.linkedin.com/jobs/view/qa-automation-at-inetum-4190443564?position=11&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=VBWPe9pVDnccx3NPpxNxYQ%3D%3D
Analista QA Senior,METRICA Perú,https://pe.linkedin.com/company/metricaperusac?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",3 days ago,https://pe.linkedin.com/jobs/view/analista-qa-senior-at-metrica-per%C3%BA-4186435357?position=12&pageNum=0&refId=AFsP9nqB3NDJbo8Giv8rSw%3D%3D&trackingId=WuS0Gc3b7yyKHsHOhhrPFA%3D%3D
